id,name,country_code,description,homepage_url,grants_count,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,institution_role,funder_role,publisher_role,updated_date,created_date
F4320307264,Foundation for Chiropractic Education and Research,US,,,2,5,319,0,4,3,,F4320307264,,2023-06-09,2023-02-13
F4320309222,Mae and Benjamin Swig Foundation,US,foundation in United States of America,,0,1,222,0,1,1,,F4320309222,,2023-06-09,2023-02-13
F4320309241,Danforth Foundation,US,organization,,3,5,190,0,4,3,,F4320309241,,2023-06-09,2023-02-13
F4320309574,Taconic Foundation,US,,,0,2,175,0,2,2,,F4320309574,,2023-06-09,2023-02-13
F4320312719,Polymerat,AU,,,0,1,130,0,1,1,,F4320312719,,2023-06-09,2023-02-13
F4320335618,Key Laboratory of Smart Drug Delivery,CN,,,3,5,113,2.0,4,2,,F4320335618,,2023-06-09,2023-02-13
F4320313812,Ministry of Youth Development,NZ,,,1,4,101,0,4,3,,F4320313812,,2023-06-09,2023-02-13
F4320338474,U.S. Army Dental and Trauma Research Detachment,US,government organization in United States of America,,2,4,100,3.0,3,2,,F4320338474,,2023-06-09,2023-02-13
F4320323255,Grosserer Valdemar Foersom og Hustru Thyra Foersoms Fond,NO,foundation in Norway,,2,7,95,0.5,3,2,,F4320323255,,2023-06-09,2023-02-13
F4320321805,Society for Emotionally Disturbed Children,CA,nonprofit organization in Canada,,0,1,91,0,1,1,,F4320321805,,2023-06-09,2023-02-13
F4320318330,"Division of Bone and Mineral Diseases, John T. Milliken Department of Medicine, Washington University in St. Louis",US,,,1,2,88,0,2,2,,F4320318330,,2023-06-09,2023-02-13
F4320333085,"Department of Molecular Biosciences, Northwestern University",US,academic institution in United States of America,,0,1,87,0,1,1,,F4320333085,,2023-06-09,2023-02-13
F4320309219,American Child Guidance Foundation,US,foundation in United States of America,,1,2,85,5.0,2,2,,F4320309219,,2023-06-09,2023-02-13
F4320323921,Staub/Kaiser-Stiftung,CH,foundation in Switzerland,,0,1,80,0,1,1,,F4320323921,,2023-06-09,2023-02-13
F4320318722,Frances C. and William P. Smallwood Foundation,US,,,0,1,76,0,1,1,,F4320318722,,2023-06-09,2023-02-13
F4320309264,Eterna International Foundation,PK,foundation in United States of America,,2,2,75,0,2,2,,F4320309264,,2023-06-09,2023-02-13
F4320315325,National Capital Area Chapter of the Society of Toxicology,US,,,1,2,75,0,1,1,,F4320315325,,2023-06-09,2023-02-13
F4320307642,Molly Foundation for Diabetes Research,US,foundation in United States of America,,0,3,69,0,3,3,,F4320307642,,2023-06-09,2023-02-13
F4320328036,Association Française de la Maladie de Fanconi,FR,,,2,3,69,2.0,2,1,,F4320328036,,2023-06-09,2023-02-13
F4320314818,Roy A. Hunt Foundation,US,,,0,1,68,0,1,1,,F4320314818,,2023-06-09,2023-02-13
F4320315703,Sudden Arrhythmic Death Syndrome,GB,,,1,4,66,0,3,2,,F4320315703,,2023-06-09,2023-02-13
F4320312374,European Association for Behavioural and Cognitive Therapies,NL,,,0,3,65,0,3,3,,F4320312374,,2023-06-09,2023-02-13
F4320324646,New Energy Foundation,JP,,,0,2,63,0,2,2,,F4320324646,,2023-06-09,2023-02-13
F4320312251,Shetland Salmon Farmers Association,GB,,,0,1,62,0,1,1,,F4320312251,,2023-06-09,2023-02-13
F4320314737,James F. and Marion L. Miller Foundation,US,,,0,2,62,0,1,1,,F4320314737,,2023-06-09,2023-02-13
F4320322553,Sirpa ja Markku Jalkasen Säätiö,FI,foundation in Finland,,1,2,62,0,1,1,,F4320322553,,2023-06-09,2023-02-13
F4320325225,Anton Dreher Gedächtnis-Privatstiftung für medizinische Forschung,AT,foundation in Austria,,1,1,62,0,1,1,,F4320325225,,2023-06-09,2023-02-13
F4320312433,Heraeus Noblelight America,US,business enterprise in United States of America,https://www.fusionuv.com,0,2,58,0,2,1,,F4320312433,,2023-06-09,2023-02-13
F4320314440,American Society for Peripheral Nerve,US,,,0,1,58,0,1,1,,F4320314440,,2023-06-09,2023-02-13
F4320326648,Berit och Carl-Johan Wettergrens stiftelse,SE,,,0,2,56,0,2,2,,F4320326648,,2023-06-09,2023-02-13
F4320333673,Biomedical Research and Environmental Sciences Division,US,,,4,6,54,5.5,4,3,,F4320333673,,2023-06-09,2023-02-13
F4320333830,Research Institute for Islamic and Complementary Medicine,IR,,,1,1,54,0,1,1,,F4320333830,,2023-06-09,2023-02-13
F4320334124,Icahn Institute for Data Science and Genomic Technology,US,,,0,1,53,0,1,1,,F4320334124,,2023-06-09,2023-02-13
F4320313763,Institute for Experimental Psychiatry Research Foundation,US,,,0,1,52,0,1,1,,F4320313763,,2023-06-09,2023-02-13
F4320312192,SSM Health Cardinal Glennon Children’s Foundation,US,foundation in United States of America,,0,3,51,0,2,2,,F4320312192,,2023-06-09,2023-02-13
F4320321503,Carla Boetes Fund,NL,,,0,2,51,0,2,2,,F4320321503,,2023-06-09,2023-02-13
F4320317792,Health and Family Planning Commission of Liaoning Province,CN,,,2,2,48,0,2,1,,F4320317792,,2023-06-09,2023-02-13
F4320325230,Polysackaridforskning i Uppsala,SE,business enterprise in Sweden,,0,1,47,0,1,1,,F4320325230,,2023-06-09,2023-02-13
F4320322269,Catharijne Foundation,NL,,,1,3,46,0,3,3,,F4320322269,,2023-06-09,2023-02-13
F4320313543,Canadian Spine Society,CA,,,0,1,45,0,1,1,,F4320313543,,2023-06-09,2023-02-13
F4320309187,Friedsam Foundation,US,,,0,3,43,0,2,2,,F4320309187,,2023-06-09,2023-02-13
F4320316222,St. Luke's Institute of Cancer Research,IE,,,0,4,43,2.0,3,2,,F4320316222,,2023-06-09,2023-02-13
F4320325747,Gunnar Kristian Olsen og Randi Andresens Legat,NO,,,0,1,43,0,1,1,,F4320325747,,2023-06-09,2023-02-13
F4320330276,Prairie Oat Growers Association,CA,,,0,5,42,2.0,3,1,,F4320330276,,2023-06-09,2023-02-13
F4320333728,Society for Anthropology in Community Colleges,US,,,1,1,41,0,1,1,,F4320333728,,2023-06-09,2023-02-13
F4320334642,"Department of Anglo-Saxon, Norse and Celtic, Faculty of English, University of Cambridge",GB,University Department,http://www.asnc.cam.ac.uk,0,2,40,3.0,2,1,,F4320334642,,2023-06-09,2023-02-13
F4320337095,"Centre for Ionic Liquids, University of Malaya",MY,,,1,1,40,0,1,1,,F4320337095,,2023-06-09,2023-02-13
F4320306214,Akron General Development Foundation,US,,,2,3,38,0,1,1,,F4320306214,,2023-06-09,2023-02-13
F4320320082,Foundation for Study of Infant Deaths,GB,,,0,1,37,0,1,1,,F4320320082,,2023-06-09,2023-02-13
F4320309739,Fondation du Judaïsme de Belgique,BE,,,0,1,36,0,1,1,,F4320309739,,2023-06-09,2023-02-13
F4320309926,Bowland Charitable Trust,GB,foundation in United Kingdom,,0,2,36,0,2,1,,F4320309926,,2023-06-09,2023-02-13
F4320310955,Westco Fertilizers,CA,,,0,1,35,0,1,1,,F4320310955,,2023-06-09,2023-02-13
F4320325348,Taiwan Foundation for Democracy,TW,organization,http://www.tfd.org.tw/opencms/english/index.html,2,4,35,2.0,3,2,,F4320325348,,2023-06-09,2023-02-13
F4320313539,Masthead Cove Yacht Club,US,,,0,1,34,0,1,1,,F4320313539,,2023-06-09,2023-02-13
F4320307440,Rossi Family Foundation,US,foundation in United States of America,,0,1,33,0,1,1,,F4320307440,,2023-06-09,2023-02-13
F4320326125,"Købmand M. Kristjan Kjær og Hustru Margrethe Kjær, Født la Cour-Holmes Fond",DK,,,1,5,33,5.0,3,1,,F4320326125,,2023-06-09,2023-02-13
F4320337850,"Health Care Engineering Systems Center, University of Illinois",US,,,1,4,33,5.333333333333333,2,2,,F4320337850,,2023-06-09,2023-02-13
F4320313551,Tolerx,US,,http://www.tolerx.com,0,1,32,0,1,1,,F4320313551,,2023-06-09,2023-02-13
F4320309571,Dean L. and Rosemarie Buntrock Foundation,US,foundation in United States of America,,0,1,31,0,1,1,,F4320309571,,2023-06-09,2023-02-13
F4320317233,Saitama Cardiovascular and Respiratory Center,JP,,,7,5,31,5.0,3,1,,F4320317233,,2023-06-09,2023-02-13
F4320326382,Medical Workshop,NL,,,0,1,31,0,1,1,,F4320326382,,2023-06-09,2023-02-13
F4320335537,WWF-Thailand,TH,,,0,1,31,0,1,1,,F4320335537,,2023-06-09,2023-02-13
F4320331276,Australian Koala Foundation,AU,Australian non-profit group dedicated to koala protection,http://www.savethekoala.com,0,1,30,0,1,1,,F4320331276,,2023-06-09,2023-02-13
F4320325199,Stiftelsen Per Ahlquists Donationsfond,SE,foundation in Sweden,,0,2,29,0,1,1,,F4320325199,,2023-06-09,2023-02-13
F4320328981,Adolf-Martens-Fonds,DE,,,0,2,29,0,1,1,,F4320328981,,2023-06-09,2023-02-13
F4320332367,Office of Congressional and Intergovernmental Affairs,US,,,0,2,29,0,2,1,,F4320332367,,2023-06-09,2023-02-13
F4320313416,Alberta Historical Resources Foundation,CA,,,1,6,27,0.5,2,2,,F4320313416,,2023-06-09,2023-02-13
F4320313737,Pediatric Neurotransmitter Diseases Association,US,,,0,1,27,0,1,1,,F4320313737,,2023-06-09,2023-02-13
F4320323558,Dr.Ir. Cornelis Lely Stichting,NL,,,2,3,27,0,2,1,,F4320323558,,2023-06-09,2023-02-13
F4320335330,Virbac New Zealand,NZ,,,0,5,27,2.3333333333333335,4,0,,F4320335330,,2023-06-09,2023-02-13
F4320311796,Wilhelm und Ingeburg Dinse Gedächnis-Stiftung,DE,foundation in Germany,,0,1,26,0,1,1,,F4320311796,,2023-06-09,2023-02-13
F4320325609,Verein der Freunde und Förderer der Schweinemedizin,AT,professional society in Austria,,0,3,26,0,3,1,,F4320325609,,2023-06-09,2023-02-13
F4320326029,Stiftelsen Gunilla Edlinds Stipendiefond,SE,,,2,2,26,2.0,2,1,,F4320326029,,2023-06-09,2023-02-13
F4320328302,René Vogels Stichting,NL,,,1,2,26,0,2,2,,F4320328302,,2023-06-09,2023-02-13
F4320309245,"Frederic Burk Foundation for Education, San Francisco State College",US,foundation in United States of America,,0,1,25,0,1,1,,F4320309245,,2023-06-09,2023-02-13
F4320315446,American Nurse Practitioner Foundation,US,,,0,1,25,0,1,1,,F4320315446,,2023-06-09,2023-02-13
F4320315953,Norcross Wildlife Foundation,US,,,0,1,25,0,1,1,,F4320315953,,2023-06-09,2023-02-13
F4320333959,"Department of Psychology, University of Alabama at Birmingham",US,,,0,2,25,0,1,1,,F4320333959,,2023-06-09,2023-02-13
F4320314187,Society of Critical Care Anesthesiologists,US,,,0,1,24,0,1,1,,F4320314187,,2023-06-09,2023-02-13
F4320319167,Expect Miracles Foundation,US,,,0,2,24,11.0,1,1,,F4320319167,,2023-06-09,2023-02-13
F4320308663,"W. E. B. Du Bois Institute for African and African American Research, Harvard University",US,academic institute in Harvard University,https://hutchinscenter.fas.harvard.edu/w-e-b-du-bois-research-institute,1,3,23,0,2,2,,F4320308663,,2023-06-09,2023-02-13
F4320312399,Vasomedical,US,,,0,2,23,0,2,1,,F4320312399,,2023-06-09,2023-02-13
F4320314447,Lionel Murphy Foundation,AU,,,1,3,23,0,2,2,,F4320314447,,2023-06-09,2023-02-13
