id,ror,name,type,homepage_url,repos,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,country_code,country,region,city,latitude,longitude,associated_institutions,institution_role,funder_role,publisher_role,x_concepts,works_api_url,updated_date,created_date
I4210108279,https://ror.org/01gq5z667,BYG Systems (United Kingdom),company,https://bygsystems.com/,,8,511,0,3,2,GB,United Kingdom,,Nottingham,52.93671,-1.184729,,I4210108279,,,"C41008148,C127413603,C154945302,C33923547,C111919701,C44154836,C121332964,C2524010,C115903868,C198352243,C171268870,C62520636,C90509273,C199360897,C78519656,C86803240,C199639397,C34413123",https://api.openalex.org/works?filter=institutions.id:I4210108279,2023-06-08,2022-02-02
I4210100096,https://ror.org/01231rh41,Georgia Department of Economic Development,government,https://www.georgia.org/,,8,163,0,6,5,US,United States,Georgia,Atlanta,33.77756,-84.38932,,I4210100096,,,"C17744445,C162324750,C199539241,C41008148,C50522688,C199360897,C205649164,C144133560,C33923547,C86803240,C127413603,C95457728,C138885662,C166957645,C162853370,C10138342,C110354214,C195094911,C53844881,C111472728,C2779343474,C2778029271,C39432304,C15744967,C86432685",https://api.openalex.org/works?filter=institutions.id:I4210100096,2023-06-08,2022-02-02
I4210142224,https://ror.org/03nawys62,Thorne Nature Experience,nonprofit,http://thornenature.org/,,3,158,0,3,3,US,United States,Colorado,Boulder,40.011803,-105.20246,,I4210142224,,,"C18903297,C71924100,C86803240,C205649164,C110872660,C142724271,C2776133958,C127313418,C125069764,C111368507,C518008717,C6557445,C32277403,C58640448,C59822182,C95457728,C151730666,C166957645,C2777904157,C2779673426,C2780993040,C39432304,C29376679,C144133560,C2994341026",https://api.openalex.org/works?filter=institutions.id:I4210142224,2023-06-08,2022-02-02
I4210126367,https://ror.org/02zx9pq98,Innova HealthCare Services,healthcare,http://www.innova4health.com,,2,154,3.0,2,1,US,United States,Virginia,Falls Church,12.934947,77.61452,,I4210126367,,,"C71924100,C126322002,C55493867,C71315377,C78085059,C86803240,C90924648,C134018914,C141071460,C142724271,C164705383,C169760540,C185592680,C204787440,C2776034619,C2776297358,C2777433750,C2777795826,C2778198053,C2781025020,C15744967,C2984496839,C27081682",https://api.openalex.org/works?filter=institutions.id:I4210126367,2023-06-08,2022-02-02
I4210093379,https://ror.org/00n1s5967,Philadelphia Institute of Dermatology,healthcare,https://www.drdermonline.com/main.shtml,,2,148,0,2,2,US,United States,Pennsylvania,Fort Washington,40.14238,-75.17277,,I4210093379,,,"C86803240,C126322002,C16005928,C141071460,C142724271,C54355233,C71924100,C150903083,C159110408,C168563851,C169760540,C197934379,C203014093,C512399662,C555293320,C2776135927,C2776330896,C2777673923,C2777789703,C2778024521,C2778081122,C2778190193,C2778334829,C2778527774,C2778804307",https://api.openalex.org/works?filter=institutions.id:I4210093379,2023-06-08,2022-02-02
I4210138678,https://ror.org/04m541b31,Chartered Institute of Procurement & Supply,other,https://www.cips.org,,1,145,0,1,1,GB,United Kingdom,,Stamford,41.07085,-73.539085,,I4210138678,,,"C40700,C2119116,C14036430,C17744445,C21547014,C33923547,C34447519,C41008148,C46934059,C54355233,C62520636,C78458016,C86803240,C92361134,C95444343,C97355855,C98045186,C105795698,C111472728,C111919701,C120936955,C121332964,C127413603,C138885662,C144133560",https://api.openalex.org/works?filter=institutions.id:I4210138678,2023-06-08,2022-02-02
I4210094892,https://ror.org/00r4cx198,National Center for Public Policy and Higher Education,nonprofit,http://www.highereducation.org/,,8,135,0,4,2,US,United States,California,San Jose,37.29289,-121.9926,,I4210094892,,,"C162324750,C144024400,C199539241,C17744445,C50522688,C15744967,C3116431,C120912362,C205649164,C39549134,C144133560,C19417346,C138885662,C509550671,C94625758,C71924100,C187736073,C95457728,C166957645,C109986646,C34447519,C41008148,C86803240",https://api.openalex.org/works?filter=institutions.id:I4210094892,2023-06-08,2022-02-02
I4210130598,https://ror.org/0374drm04,Accademia di Belle Arti dell'Aquila,education,http://www.accademiabellearti.laquila.it/,,3,118,0,1,1,IT,Italy,,L’Aquila,42.36513,13.372864,,I4210130598,,,"C205649164,C95457728,C166957645,C142362112,C153349607,C41008148,C162324750,C52119013,C124952713,C138885662,C111472728,C124101348,C127313418,C127413603,C139719470,C141121606,C144024400,C147176958,C151730666,C154945302,C195244886,C199539241,C519580073,C556758197,C2777451423",https://api.openalex.org/works?filter=institutions.id:I4210130598,2023-06-08,2022-02-02
I4210151844,https://ror.org/05hfrjt79,Partners Asia,other,http://partnersasia.org/,,2,113,0,1,1,US,United States,California,Oakland,37.804623,-122.270676,,I4210151844,,,"C17744445,C24890656,C34447519,C40149104,C41008148,C41866144,C41895202,C45355965,C50522688,C62520636,C66938386,C97355855,C121332964,C127413603,C138885662,C144024400,C144133560,C159985019,C162324750,C178405089,C192562407,C198394728,C199360897,C199539241,C205649164",https://api.openalex.org/works?filter=institutions.id:I4210151844,2023-06-08,2022-02-02
I4210153476,https://ror.org/04y726b94,National Museum of the Finnish Sámi,archive,http://www.siida.fi/contents/sami-museum,,4,108,0,2,2,FI,Finland,,Inari,68.9109,27.013712,,I4210153476,,,"C86803240,C205649164,C18903297,C95457728,C55958113,C19165224,C17744445,C179454799,C166957645,C199539241,C144024400,C142724271,C144133560,C150436541,C151730666,C153349607,C185933670,C514011633,C2775835988,C2776133958,C2778091200,C2778898053,C2779306362,C2549261,C2779343474",https://api.openalex.org/works?filter=institutions.id:I4210153476,2023-06-08,2022-02-02
