id,name,doi,publication_date,type,is_oa,oa_status,oa_url,authorships,cited_by_count,is_retracted,is_paratext,concepts,locations,best_oa_location,referenced_works,related_works,ngrams_url,cited_by_api_url,updated_date,created_date
W4256166764,Notes On Supplementary Plates LXXIII-LXXVI,https://doi.org/10.1017/s0017383500010330,1948-10-01,journal-article,False,closed,,,1,False,False,C95457728,S15194642,,,"W1430553,W9824850,W27580104,W42553851,W69398408,W77768461,W81590250,W95021018,W137321298,W140214603",,https://api.openalex.org/works?filter=cites:W4256166764,2023-04-15,2022-05-12
W2037320523,The Shape of Archaeology,https://doi.org/10.1093/oxartj/kcs011,2012-06-01,journal-article,False,closed,,A4351129508,0,False,False,"C166957645,C142362112,C127313418,C205649164",S19496192,,,"W51329136,W79331259,W148460201,W566103513,W2001854798,W2044421092,W2065173313,W2065469406,W2307505168,W2612846524,W2802162220,W2883888927,W2891410775,W2892032652,W2892232182,W2895284703,W2963091334,W2973956244,W3007948373,W3112157951",,https://api.openalex.org/works?filter=cites:W2037320523,2023-04-15,2016-06-24
W4205537230,Guide to Radiologic Diagnosis in Heart Disease: Prepared with the Aid of the Committee on Research of the Heart Committee.,https://doi.org/10.1001/jama.1933.02740230066037,1933-06-10,journal-article,False,closed,,,0,False,False,"C71924100,C19527891,C2780074459,C164705383",S172573765,,,"W163599,W1430808,W1824886,W1904788,W3264470,W7491050,W11793912,W13403494,W16174032,W17209176",,https://api.openalex.org/works?filter=cites:W4205537230,2023-04-15,2022-01-25
W4210822223,Calendar,https://doi.org/10.1016/0301-5629(86)90190-0,1986-08-01,journal-article,False,closed,,,0,False,False,C71924100,S109113098,,,"W1789652,W2293685,W4082110,W4459791,W5200233,W7796093,W17604275,W19290910,W20565001,W22474374",,https://api.openalex.org/works?filter=cites:W4210822223,2023-04-15,2022-02-09
W4213039536,Fall 659,https://doi.org/10.1055/s-0028-1105263,1979-04-01,journal-article,False,closed,,,0,False,False,C71924100,S38943393,,,"W1641046,W3313534,W4374604,W6855727,W8324047,W8419435,W9962131,W10271803,W11066232,W11626879",,https://api.openalex.org/works?filter=cites:W4213039536,2023-04-15,2022-02-24
W4213087848,10.1007/s11425-006-005-5,https://doi.org/10.1007/s11425-006-005-5,2000-01-01,journal-article,False,closed,,,0,False,False,C41008148,S4210212300,,,,,https://api.openalex.org/works?filter=cites:W4213087848,2023-04-15,2022-02-24
W4213183927,Transcutaneous Jet Propulsion,https://doi.org/10.1056/nejm194904212401610,1949-04-21,journal-article,False,closed,,,0,False,False,"C71924100,C1034443,C2780951926,C119947313,C178802073,C146978453,C127413603",S62468778,,,"W4053974,W4116672,W4957524,W5129609,W5921674,W15778043,W18003524,W18266151,W18675547,W22984884",,https://api.openalex.org/works?filter=cites:W4213183927,2023-04-15,2022-02-24
W4213189699,Index to Review,https://doi.org/10.1515/mfir.1999.28.2.72,1999-01-01,journal-article,False,closed,,,0,False,False,"C2777382242,C105795698,C41008148,C33923547,C136764020",S194022826,,,"W1970140770,W1971287178,W1972169098,W1973221804,W1979665550,W3192869561,W3193289125,W3193414215,W3196561143,W3197339501",,https://api.openalex.org/works?filter=cites:W4213189699,2023-04-15,2022-02-24
W4214716293,3 profitable ways to use BENTONE® 27 and BENTONE® 38 gellants in industrial finishes,https://doi.org/10.1021/cen-v039n033.p099,1961-08-14,journal-article,False,closed,,,0,False,False,"C117671659,C127413603,C144133560,C170154142,C40700",S163506364,,,"W1134078112,W1585269915,W1679368072,W2058625735,W2124196454,W2250129422,W2392087515,W2492175572,W2979955241,W2993122637",,https://api.openalex.org/works?filter=cites:W4214716293,2023-04-15,2022-03-02
W4230140438,Editorial,https://doi.org/10.1016/s0031-3203(99)00069-2,2000-04-01,journal-article,False,closed,,,0,False,False,"C41008148,C154945302",S414566,,,"W770098,W1679810,W3060714,W4748126,W7197678,W9584637,W9688470,W9783904,W11531451,W15037092",,https://api.openalex.org/works?filter=cites:W4230140438,2023-04-15,2022-05-11
